FECHA;IGPA;SM SAAM S.A.;SQM.B;VAPORES;RETORNO IGPA;RETORNO SM SAAM ;RETORNO SQM-B;RETORNO VAPORES
06/07/2012 0:00;21127,37;56,64;28141;59,4226;0,006387761;0,005681818;0,012630443;0,014647023
13/07/2012 0:00;20984,85;55,89;28541;56,878;-0,00279514;0,001254031;-0,008993056;0,01496266
20/07/2012 0:00;21034,89;53,6;28974;55,037;0,008583191;0,000933707;-0,005833105;-0,006957451
27/07/2012 0:00;20560,61;53;29111;55,8756;0,002883693;0,00952381;-0,001851534;-0,01745785
03/08/2012 0:00;20295,59;52,52;28840;56,2419;0,001265915;0,01;0,01217843;0,013020768
10/08/2012 0:00;20249,42;52,4;28792;54,8732;0,001286628;0,005565151;3,47E-05;0,016607135
17/08/2012 0:00;20578,78;52,5;29559;56,8491;-0,002401553;-0,000761325;0,000406133;-0,007739233
24/08/2012 0:00;20301,26;52;28536;54,9406;0,006130573;0,011673152;-0,008994617;0,027026926
31/08/2012 0:00;20176,31;50,74;29609;50,8153;0,003842964;-0,005098039;0,018856887;0,008416152
07/09/2012 0:00;20249,82;51,68;29711;50,1117;-0,002170606;0,003885004;0,000639903;0,017816775
14/09/2012 0:00;20486,1;52,75;29438;48,5791;0,001096578;-0,000757719;-0,034027892;-0,000991213
21/09/2012 0:00;20557,48;53,23;30165;47,9333;0,003760658;0,027606178;0,013336469;0,04103023
28/09/2012 0:00;20551,46;51;29278;45,7164;-0,000636046;0;-0,002521123;0,007648327
05/10/2012 0:00;20885,45;52,53;28581;45,9092;-6,89E-05;-0,012408347;0,008681842;0,028503323
12/10/2012 0:00;20778,44;53,5;28011;43,4706;-0,008238255;-0,02014652;-0,003699093;-0,019565566
19/10/2012 0:00;20871,64;55,76;27720;44,261;0,003690328;0,007771553;-0,00036062;0,011455746
26/10/2012 0:00;20835,73;55,21;27844;42,5935;-0,00136406;-0,005225225;-0,003007734;0,004319705
31/10/2012 0:00;20910,93;56,25;27938;44,3381;0,000314289;-0,007936508;0,000393884;0,008110247
09/11/2012 0:00;20736,35;57;27733;42,9308;0,002107018;0,014234875;-0,002410072;0,009977251
16/11/2012 0:00;20539,78;56;27939;41,7934;-0,002370246;0,008645533;-0,017235921;-0,006645592
23/11/2012 0:00;20365,27;54,8;27038;41,9187;0,002119357;-0,003636364;0,004196843;-0,000231347
30/11/2012 0:00;20323,85;53,03;27213;40,6754;-0,003010025;-0,012292792;0,000772286;-0,011939204
07/12/2012 0:00;20322,68;55;26384;41,4465;0,000194894;-0,002719855;0,008755496;0,014152848
14/12/2012 0:00;20854,97;57,38;27348;41,9284;-0,003446727;-0,002953953;-0,004912127;-0,011362806
21/12/2012 0:00;21002,39;57,67;27667;42,2175;-4,81E-05;-0,000519931;0,007905282;0,004817316
28/12/2012 0:00;21070,28;57,4;27513;41,2151;-0,008601573;-0,010344828;-0,005889579;-0,028181833
04/01/2013 0:00;21462,16;59,51;27389;46,2369;-0,000447099;-0,021860618;0,003738044;-0,017611514
11/01/2013 0:00;21676,41;59,5;27700;50,0153;-0,003128616;-0,008333333;0,004933972;0,004841856
18/01/2013 0:00;22030,33;60,95;27587;49,1574;-0,00011982;-0,000819672;0,001924893;0,00970112
25/01/2013 0:00;21966,79;61,01;27080;49,6875;-0,002952092;0,010099338;0,008303236;0,010387033
01/02/2013 0:00;22219,83;59,9;26841;50,2562;0,001259921;0,002342704;0,007999099;-0,024327646
08/02/2013 0:00;22280,73;60,19;27390;49,2056;-0,00037238;-0,005123967;0,002709035;-0,007967613
15/02/2013 0:00;22335,33;60,1;26691;53,4177;-0,000590196;-0,00166113;-0,007695739;-0,008942536
22/02/2013 0:00;22150,75;58,25;25986;50,6225;0,004853528;-0,004273504;0,006858073;-0,006244528
01/03/2013 0:00;22284,57;58,47;26284;50,3623;-0,002213218;0,000513347;0,005008986;0,014761322
08/03/2013 0:00;22122,69;58;26146;48,1454;0,000224707;0,012923507;-0,013284021;0,000602705
15/03/2013 0:00;21635,44;55,16;26470;45,514;0,001284265;-0,012354521;0,017802899;0,014829795
